"country_id","name"
1,"France"
2,"Spain"
3,"Italy"
4,"Australia"
5,"USA"
5,"United States"
6,"Portugal"
6,"Portugal"
7,"Germany"
8,"Argentina"
8,"Argentina"
9,"Chile"
9,"Chile"
10,"South Africa"
11,"Austria"
12,"Denmark"
13,"New Zealand"
250,"Mexico"
253,"Mexico"
258,"England"
7,"Germany"
10,"South Africa"
11,"Austria"
4,"Australia"
252,"Switzerland"
12,"Denmark"
2,"Spain"
1,"France"
14,"Hungary"
3,"Italy"
263,"Norway"
259,"China"
254,"Turkey"
251,"Albania"
70,"Czech Republic"
90,"Georgia"
93,"Greece"
66,"Croatia"
66,"Croatia"
70,"Czech Republic"
90,"Georgia"
93,"Greece"
14,"Hungary"
260,"Canada"
255,"Belgium"
129,"Lebanon"
135,"Luxembourg"
156,"Morocco"
137,"Macedonia"
129,"Lebanon"
135,"Luxembourg"
137,"Macedonia, Republic of"
156,"Morocco"
13,"New Zealand"
261,"Sweden"
256,"Brazil"
185,"Romania"
206,"Slovenia"
205,"Slovakia"
178,"Peru"
178,"Peru"
185,"Romania"
205,"Slovakia"
206,"Slovenia"
236,"United Kingdom"
257,"Bulgaria"
262,"Japan"
222,"Thailand"
222,"Thailand"
236,"United Kingdom"
238,"Uruguay"
238,"Uruguay"
